Date and Time,,,
Tue Mar 29 12:32:50 2022,1,1655,30812
Tue Mar 29 12:32:52 2022,2,1655,30812
Tue Mar 29 12:32:54 2022,3,1655,30812
Tue Mar 29 12:32:56 2022,4,1653,30812
Tue Mar 29 12:32:58 2022,5,1653,30812
Tue Mar 29 12:32:59 2022,6,1654,30812
Tue Mar 29 12:33:01 2022,7,1654,30812
Tue Mar 29 12:33:03 2022,8,1655,30812
Tue Mar 29 12:33:05 2022,9,1654,30812
Tue Mar 29 12:33:07 2022,10,1654,30812
Tue Mar 29 12:33:08 2022,11,1654,30812
Tue Mar 29 12:33:10 2022,12,1654,30812
Tue Mar 29 12:33:12 2022,13,1656,30812
Tue Mar 29 12:33:14 2022,14,1653,30812
Tue Mar 29 12:33:16 2022,15,1654,30812
Tue Mar 29 12:33:18 2022,16,1655,30812
Tue Mar 29 12:33:19 2022,17,1652,30875
Tue Mar 29 12:33:21 2022,18,1656,30812
Tue Mar 29 12:33:23 2022,19,1655,30875
Tue Mar 29 12:33:25 2022,20,1653,30812
Tue Mar 29 12:33:27 2022,21,1653,30875
Tue Mar 29 12:33:29 2022,22,1652,30812
Tue Mar 29 12:33:30 2022,23,1655,30812
Tue Mar 29 12:33:32 2022,24,1655,30812
Tue Mar 29 12:33:34 2022,25,1655,30812
Tue Mar 29 12:33:36 2022,26,1653,30812
Tue Mar 29 12:33:38 2022,27,1657,30812
Tue Mar 29 12:33:40 2022,28,1653,30750
Tue Mar 29 12:33:41 2022,29,1656,30812
Tue Mar 29 12:33:43 2022,30,1824,30812
Tue Mar 29 12:33:45 2022,31,1654,30812
Tue Mar 29 12:33:47 2022,32,1658,30875
Tue Mar 29 12:33:49 2022,33,1671,30812
Tue Mar 29 12:33:50 2022,34,1648,30812
Tue Mar 29 12:33:52 2022,35,1656,30750
Tue Mar 29 12:33:54 2022,36,1654,30812
Tue Mar 29 12:33:56 2022,37,1652,30750
Tue Mar 29 12:33:58 2022,38,1653,30812
Tue Mar 29 12:34:00 2022,39,1655,30875
Tue Mar 29 12:34:01 2022,40,1653,30875
Tue Mar 29 12:34:03 2022,41,1655,30875
Tue Mar 29 12:34:05 2022,42,1655,30875
Tue Mar 29 12:34:07 2022,43,1655,30875
Tue Mar 29 12:34:09 2022,44,1655,30875
Tue Mar 29 12:34:11 2022,45,1655,30875
Tue Mar 29 12:34:12 2022,46,1656,30875
Tue Mar 29 12:34:14 2022,47,1653,30875
Tue Mar 29 12:34:16 2022,48,1654,30875
Tue Mar 29 12:34:18 2022,49,1654,30875
Tue Mar 29 12:34:20 2022,50,1653,30875
Tue Mar 29 12:34:21 2022,51,1654,30875
Tue Mar 29 12:34:23 2022,52,1655,30875
Tue Mar 29 12:34:25 2022,53,1652,30875
Tue Mar 29 12:34:27 2022,54,1656,30875
Tue Mar 29 12:34:29 2022,55,1653,30875
Tue Mar 29 12:34:31 2022,56,1654,30875
Tue Mar 29 12:34:32 2022,57,1656,30875
Tue Mar 29 12:34:34 2022,58,1654,30875
Tue Mar 29 12:34:36 2022,59,1654,30875
Tue Mar 29 12:34:38 2022,60,1655,30875
Tue Mar 29 12:34:40 2022,61,1655,30875
Tue Mar 29 12:34:42 2022,62,1653,30875
Tue Mar 29 12:34:43 2022,63,1655,30875
Tue Mar 29 12:34:45 2022,64,1654,30875
Tue Mar 29 12:34:47 2022,65,1653,30875
Tue Mar 29 12:34:49 2022,66,1655,30875
Tue Mar 29 12:34:51 2022,67,1655,30875
Tue Mar 29 12:34:52 2022,68,1655,30875
Tue Mar 29 12:34:54 2022,69,1699,30875
Tue Mar 29 12:34:56 2022,70,1697,30875
Tue Mar 29 12:34:58 2022,71,1694,30875
Tue Mar 29 12:35:00 2022,72,1704,30875
Tue Mar 29 12:35:02 2022,73,1699,30937
Tue Mar 29 12:35:03 2022,74,1700,30937
Tue Mar 29 12:35:05 2022,75,1703,30875
Tue Mar 29 12:35:07 2022,76,1703,30937
Tue Mar 29 12:35:09 2022,77,1699,30875
